Velocity_Upon_Capture_X,Velocity_Upon_Capture_Y,Velocity_Upon_Capture_Z,Initial_Velocity_X,Initial_Velocity_Y,Initial_Velocity_Z,Time_Captured,Position_Captured_X,Position_Captured_Y,Position_Captured_Z
251.75630748693243,4.747130669894006,120.42570205993577,251.71842775144873,6.27278453553213,121.14737443088156,0.0012129999999999999,0.29501798387293837,0.013985235420916458,0.046910683522874384
219.73900988257708,-3.0953142396906204,32.52631720856359,219.67576716568348,-4.173498853054462,56.781554097406136,0.0013449999999999998,0.29501624426858675,-0.007027053072480834,-0.03754166065527382
184.8278043974181,6.127907076580145,24.53321450479944,184.71992788708704,8.959811823781015,35.45675429092843,0.001614,0.2951764229622308,0.008106500813473519,-0.04915768263820885
174.50569908685668,8.28939227166692,28.46476584953835,174.40678007613968,12.36496394526188,56.97898594173945,0.001673,0.29509694557115207,0.006772195440912985,-0.021825312980530392
139.996408999798,11.727897272750388,26.450605232076775,139.84606251339966,20.330205388968654,61.10565902405967,0.002068,0.2950771896155233,0.03554523490359426,-0.0014189373855892327
116.3052395916896,-1.3709327815826584,22.12507205243763,116.06283061717966,-2.416431610978618,56.145943943819695,0.002509,0.2950225229907779,-0.006116180266122208,-0.0037316182148049632
103.09198087689963,2.234925100136628,20.949222956676998,102.82372972599747,4.189520413273879,61.2756318250503,0.002791,0.2950199480937811,0.021068892291436356,0.0188183172345433
104.41368969012791,-9.254245135994045,19.620685877632365,104.09311122652859,-20.004253055877548,55.06772269916956,0.0029419999999999997,0.295050034082302,-0.03630507435027995,0.009157827171371813
90.69049331066778,-6.158965505887637,17.765905352777672,90.32581855886544,-13.320588723613346,55.46263516538465,0.0032189999999999996,0.2950382078798438,-0.030729612277334627,0.0177731457956589
86.17253341378785,-1.2258808825505396,16.573198279846203,85.71604882368439,-2.781370683379764,53.98076419769406,0.003624,0.2950296311445429,-0.004755612467958795,0.02387812067660428
68.37271400921088,2.1483501088579486,13.824280098184218,67.75267096491581,5.789499614348993,55.90292384007052,0.004357,0.29504090776249553,0.014699705743418025,0.04257892127556556
68.92697860079795,-3.469453863850856,13.361746383107423,68.17751563864894,-9.833943428675171,45.92558763971203,0.0045179999999999994,0.2950121839432999,-0.02763014700749268,0.027681078674096252
38.96975287177891,0.597700727245799,6.251161464978902,36.89838903047378,3.3858207245301584,28.68178461358656,0.007737999999999999,0.2950311394270847,0.02014728921209356,0.03657780542114065
23.617371217674403,0.34308442463925964,1.7088989456503645,16.945041909140834,6.6810413844926835,12.816965830171492,0.013498,0.29502084057965605,0.02249969342714415,0.0023616713123376398
